subject,age_group,age,run,n_pairs,auc,accuracy,precision_within,recall_within,f1_within,tn,fp,fn,tp
temple123,adult,19.30136986,2,66,0.79320987654321,0.803030303030303,0.47368421052631576,0.75,0.5806451612903226,44,10,3,9
temple123,adult,19.30136986,3,66,0.7006172839506173,0.7878787878787878,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4
temple123,adult,19.30136986,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple124,adult,20.35068493,1,66,0.6697530864197531,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple124,adult,20.35068493,2,66,0.75,0.7727272727272727,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7
temple124,adult,20.35068493,3,66,0.7561728395061729,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple124,adult,20.35068493,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple060,child,10.06575342,1,66,0.6867283950617284,0.7878787878787878,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4
temple060,child,10.06575342,2,66,0.6697530864197531,0.6818181818181818,0.2631578947368421,0.4166666666666667,0.3225806451612903,40,14,7,5
temple060,child,10.06575342,3,66,0.7175925925925926,0.7121212121212122,0.34782608695652173,0.6666666666666666,0.4571428571428571,39,15,4,8
temple060,child,10.06575342,4,66,0.6373456790123457,0.6363636363636364,0.25,0.5,0.3333333333333333,36,18,6,6
temple061,child,11.28767123,1,66,0.5833333333333333,0.6363636363636364,0.2,0.3333333333333333,0.25,38,16,8,4
temple061,child,11.28767123,2,66,0.6620370370370371,0.5909090909090909,0.2413793103448276,0.5833333333333334,0.34146341463414637,32,22,5,7
temple061,child,11.28767123,3,66,0.7361111111111112,0.7424242424242424,0.35294117647058826,0.5,0.41379310344827586,43,11,6,6
temple061,child,11.28767123,4,66,0.816358024691358,0.8333333333333334,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8
temple063,child,10.72054795,1,66,0.7006172839506173,0.696969696969697,0.3181818181818182,0.5833333333333334,0.4117647058823529,39,15,5,7
temple063,child,10.72054795,2,66,0.7638888888888888,0.8181818181818182,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8
temple063,child,10.72054795,3,66,0.7160493827160495,0.696969696969697,0.3333333333333333,0.6666666666666666,0.4444444444444444,38,16,4,8
temple063,child,10.72054795,4,66,0.8271604938271606,0.8181818181818182,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8
temple064,child,7.361643836,1,66,0.5200617283950617,0.6363636363636364,0.2,0.3333333333333333,0.25,38,16,8,4
temple064,child,7.361643836,2,66,0.654320987654321,0.6818181818181818,0.2857142857142857,0.5,0.36363636363636365,39,15,6,6
